chapter_id,section_id,chapter_code,title_en,title_short,description,heading_count,general_notes,ai_generated,confidence_score,source_reference,created_at,updated_at,revision_year,effective_date,status,statistical_suffix,trade_volume_rank,complexity_score
18,4,18,Cocoa and cocoa preparations,Cocoa & cocoa preparations,"Cocoa beans, cocoa shells, cocoa paste, cocoa powder, chocolate and other food preparations containing cocoa",6,This chapter covers cocoa and cocoa preparations,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
19,4,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",Cereal preparations,"Malt extract, food preparations of flour, bread, pastry, cakes, biscuits and other bakers' or pastrycooks' products",5,"This chapter covers preparations of cereals, flour, starch or milk and pastrycooks' products",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
20,4,20,"Preparations of vegetables, fruit, nuts or other parts of plants",Prepared vegetables & fruit,"Prepared or preserved vegetables, fruit, nuts and other parts of plants",9,"This chapter covers preparations of vegetables, fruit, nuts or other parts of plants",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
21,4,21,Miscellaneous edible preparations,Miscellaneous edible preparations,"Extracts, essences and concentrates of coffee, tea or mate, yeasts, food preparations, soups, sauces, condiments, vinegar",6,This chapter covers miscellaneous edible preparations not elsewhere specified,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
22,4,22,"Beverages, spirits and vinegar",Beverages & spirits,"Waters, soft drinks, beer, wine, spirits, liqueurs, vinegar and other beverages",9,"This chapter covers beverages, spirits and vinegar",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
23,4,23,Residues and waste from the food industries; prepared animal fodder,Food industry residues & fodder,"Flours, meals and pellets of meat, fish, cereals, oil-cake, bran, sharps and other residues and waste from food industries; prepared animal fodder",9,This chapter covers residues and waste from food industries and prepared animal fodder,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
24,4,24,Tobacco and manufactured tobacco substitutes,Tobacco & substitutes,"Unmanufactured tobacco, tobacco refuse, manufactured tobacco and tobacco substitutes",3,This chapter covers tobacco and manufactured tobacco substitutes,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
25,5,25,"Salt; sulphur; earths and stone; plastering materials, lime and cement","Salt, sulphur & stone","Salt, pure sodium chloride, sulphur, natural graphite, sand, gravel, stone, plaster, lime, cement",30,"This chapter covers salt, sulphur, earths and stone, and plastering materials, lime and cement",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
26,5,26,"Ores, slag and ash","Ores, slag & ash","Iron ores and concentrates, manganese ores, copper ores, nickel, aluminium, lead, zinc, tin ores and other metal ores, slag and ash",21,"This chapter covers ores, slag and ash",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
27,5,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",Mineral fuels & oils,"Coal, coke, briquettes, petroleum oils, petroleum gases, tar, bitumen, paraffin wax and other mineral fuels and oils",16,"This chapter covers mineral fuels, mineral oils and products of their distillation",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
28,6,28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",Inorganic chemicals,"Chemical elements, inorganic acids, salts, peroxides, hydrides, nitrides, carbides, and other inorganic chemical compounds",47,"This chapter covers inorganic chemicals and organic or inorganic compounds of precious metals, rare-earth metals, radioactive elements or isotopes",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
29,6,29,Organic chemicals,Organic chemicals,"Hydrocarbons, halogenated derivatives, alcohols, phenols, acids, esters, amines, organo-sulphur compounds and other organic chemicals",42,This chapter covers organic chemicals,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
30,6,30,Pharmaceutical products,Pharmaceutical products,"Glands, organs, extracts, vaccines, blood, antisera, toxins, cultures, medicaments and pharmaceutical products",6,This chapter covers pharmaceutical products,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
31,6,31,Fertilisers,Fertilisers,"Animal or vegetable fertilisers, mineral or chemical fertilisers, nitrogenous, phosphatic, potassic and other fertilisers",5,This chapter covers fertilisers,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
32,6,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks",Tanning extracts & dyes,"Tanning extracts, synthetic tanning substances, dyes, pigments, paints, varnishes, putty, mastics, inks and other colouring matter",15,"This chapter covers tanning or dyeing extracts, dyes, pigments, paints and varnishes",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
33,6,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",Essential oils & cosmetics,"Essential oils, resinoids, extracted oleoresins, aqueous distillates, perfumes, cosmetics, toilet preparations",7,"This chapter covers essential oils and resinoids, perfumery, cosmetic or toilet preparations",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
34,6,34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster",Soap & cleaning preparations,"Soap, surface-active agents, washing and cleaning preparations, lubricants, waxes, polishing preparations, candles",7,"This chapter covers soap, organic surface-active agents, washing preparations, and related products",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
35,6,35,Albuminoidal substances; modified starches; glues; enzymes,"Proteins, starches & enzymes","Casein, albumins, gelatin, glues, prepared glues, enzymes, modified starches and albuminoidal substances",6,"This chapter covers albuminoidal substances, modified starches, glues and enzymes",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
36,6,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Explosives & pyrotechnics,"Prepared explosives, safety fuses, percussion caps, detonators, fireworks, matches, ferrocerium and pyrophoric alloys",6,"This chapter covers explosives, pyrotechnic products, matches and certain combustible preparations",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
37,6,37,Photographic or cinematographic goods,Photographic goods,"Photographic plates, films, papers, instant print films, chemical preparations for photographic use",7,This chapter covers photographic or cinematographic goods,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
38,6,38,Miscellaneous chemical products,Miscellaneous chemical products,"Prepared binders, laboratory reagents, fire-extinguishing compositions, ink removers, cultures, composite solvents and other chemical products",24,This chapter covers miscellaneous chemical products not elsewhere specified,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
39,7,39,Plastics and articles thereof,Plastics & plastic articles,"Polymers, plastic plates, sheets, films, tubes, pipes, fittings, and other articles of plastic",26,This chapter covers plastics and articles thereof,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
40,7,40,Rubber and articles thereof,Rubber & rubber articles,"Natural rubber, synthetic rubber, rubber plates, sheets, tyres, tubes, gaskets, and other articles of rubber",17,This chapter covers rubber and articles thereof,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
41,8,41,Raw hides and skins (other than furskins) and leather,Raw hides & leather,"Raw hides and skins of bovine animals, sheep, goats, and other animals; tanned or crust leather",10,This chapter covers raw hides and skins (other than furskins) and leather,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
42,8,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",Leather articles,"Saddlery, harness, travel goods, handbags, wallets, cases, gloves and other articles of leather",6,"This chapter covers articles of leather, saddlery and harness, travel goods and handbags",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
43,8,43,Furskins and artificial fur; manufactures thereof,Furskins & artificial fur,"Raw furskins, tanned or dressed furskins, artificial fur and articles of furskin or artificial fur",4,This chapter covers furskins and artificial fur and manufactures thereof,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
44,9,44,Wood and articles of wood; wood charcoal,Wood & wood articles,"Fuel wood, wood charcoal, logs, lumber, plywood, particle board, and other articles of wood",21,This chapter covers wood and articles of wood and wood charcoal,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
45,9,45,Cork and articles of cork,Cork & cork articles,"Natural cork, expanded cork, crushed cork, cork stoppers, and other articles of cork",4,This chapter covers cork and articles of cork,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
46,9,46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",Straw & plaiting materials,"Plaits and plaiting materials, basketware, wickerwork and other articles of straw, esparto or other plaiting materials",2,"This chapter covers manufactures of straw, esparto or other plaiting materials",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
47,10,47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,Pulp & recovered paper,"Mechanical wood pulp, chemical wood pulp, semi-chemical wood pulp, recovered paper and paperboard",7,This chapter covers pulp of wood or other fibrous cellulosic material and recovered paper or paperboard,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
48,10,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",Paper & paperboard,"Newsprint, printing paper, kraft paper, cardboard, toilet paper, and other paper and paperboard products",23,"This chapter covers paper and paperboard and articles of paper pulp, paper or paperboard",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
49,10,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",Printed books & materials,"Printed books, brochures, newspapers, journals, maps, music, postcards, calendars, and other printed matter",11,"This chapter covers printed books, newspapers, pictures and other products of the printing industry",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
50,16,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",Nuclear reactors & machinery,"Steam boilers, steam engines, gas turbines, pumps, air conditioning machines, machinery for specific industries",84,"This chapter covers nuclear reactors, boilers, machinery and mechanical appliances",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
51,16,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles",Electrical machinery,"Electric motors, generators, transformers, batteries, electric lamps, television apparatus, radio apparatus, computers",48,This chapter covers electrical machinery and equipment,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
52,21,97,"Works of art, collectors' pieces and antiques",Works of art & antiques,"Paintings, drawings, engravings, sculptures, stamps, collections, antiques of archaeological, historical, or ethnographic interest",6,"This chapter covers works of art, collectors' pieces and antiques",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
